2019640294	7	3	12	1	10	4	13	
2020630025	9	1	2	8	1	3	8	
2019602009	8	12	13	7	10	12	2	
2019300386	13	15	10	7	9	2	14	
2020630039	15	13	6	12	3	4	11	
2020630120	13	1	8	4	2	6	13	
2020630125	12	5	11	12	10	14	5	
2020630642	3	10	12	4	12	13	4	
2020630619	13	7	14	8	3	4	12	
2020630614	12	9	4	2	1	2	6	
2020630630	14	14	3	10	5	1	6	
2020630156	9	3	2	6	1	13	6	
2020630613	6	9	13	2	14	13	4	
2020630154	6	11	9	6	1	13	5	
2020630197	2	14	1	3	5	11	4	
2019350222	4	8	11	12	5	8	3	
2020630228	15	7	4	14	4	12	9	
2020630605	4	15	5	15	12	4	15	
2020630634	2	7	3	9	5	8	13	
2020630636	15	7	12	10	9	7	10	
2020350970	5	15	3	14	10	8	11	
2020630633	2	6	10	7	3	2	12	
2020360984	13	9	6	10	14	4	13	
2019300778	1	9	12	8	6	10	13	
2020630607	1	5	9	1	9	11	3	
2020630618	3	2	6	13	9	1	7	
2020361221	2	13	4	1	5	10	11	
2020630567	1	5	4	13	2	2	3	
2020630472	14	4	7	12	6	9	5	
2020630632	3	9	1	11	4	14	6	
